Unnamed: 0,etaplus_values,etaminus_values
0,11,8
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,19,18
12,1,1
13,16,12
14,1,1
15,3,1
16,1,1
17,2,1
18,26,13
19,1,1
20,1,1
21,2,1
22,3,3
23,1,1
24,1,1
25,5,18
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,3,3
38,1,1
39,1,1
40,1,1
41,6,3
42,1,1
43,19,20
44,1,1
45,2,8
46,1,1
47,1,1
48,13,9
49,4,3
50,1,1
51,1,2
52,2,1
53,13,13
54,1,7
55,1,1
56,3,3
57,1,1
58,1,1
59,4,4
60,2,2
61,1,1
62,1,1
63,8,8
64,27,23
65,1,1
66,1,1
67,8,7
68,1,1
69,1,4
70,1,1
71,4,11
72,2,1
73,1,1
74,1,1
75,1,1
76,1,1
77,2,2
78,5,2
79,1,1
80,1,1
81,1,1
82,28,10
83,1,1
84,5,4
85,9,6
86,1,1
87,1,1
88,12,8
89,1,1
90,8,14
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,2
97,1,1
98,1,5
99,1,1
100,1,1
101,7,7
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,7,7
109,1,1
110,1,1
111,1,1
112,15,18
113,1,1
114,2,2
115,1,1
116,1,1
117,6,5
118,47,44
119,1,1
120,4,2
121,3,5
122,1,1
123,1,2
124,1,1
125,2,1
126,3,3
127,8,8
128,1,2
129,2,2
130,1,4
131,1,1
132,1,1
133,10,8
134,1,1
135,1,1
136,1,1
137,3,3
138,1,1
139,4,5
140,13,13
141,8,7
142,32,30
143,1,1
144,1,1
145,1,1
146,3,2
147,2,4
148,1,1
149,1,1
150,1,2
151,2,2
152,1,1
153,7,4
154,1,1
155,1,1
156,1,3
157,6,6
158,4,2
159,1,1
160,14,8
161,4,4
162,1,1
163,1,1
164,13,2
165,8,5
166,5,2
167,5,5
168,11,16
169,1,1
170,5,5
171,1,1
172,1,1
173,1,1
174,6,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,7,3
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,310,298
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,3,3
197,1,1
198,1,1
199,2,1
200,15,15
201,3,3
202,8,7
203,13,10
204,2,2
205,1,1
206,1,1
207,1,1
208,47,47
209,1,1
210,1,1
211,2,2
212,2,6
213,1,1
214,2,1
215,18,11
216,1,1
217,1,2
218,1,1
219,1,1
220,1,1
221,1,1
222,9,8
223,1,1
224,1,1
225,2,1
226,9,8
227,1,1
228,2,8
229,1,1
230,4,2
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,9,8
238,1,1
239,1,1
240,1,1
241,1,1
242,4,4
243,1,1
244,1,1
245,1,1
246,1,1
247,8,6
248,1,1
249,3,2
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,2,1
256,1,1
257,7,7
258,1,1
259,1,1
260,1,3
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,4,4
268,4,4
269,1,1
270,4,4
271,7,7
272,3,4
273,1,1
274,6,6
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,2,1
284,9,10
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,3,2
296,1,1
297,1,1
298,1,1
299,1,1
300,2,5
301,2,4
302,37,52
303,5,3
304,2,2
305,40,40
306,55,62
307,3,3
308,2,1
309,20,18
310,7,7
311,1,1
312,13,11
313,1,1
314,10,14
315,1,1
316,5,2
317,2,2
318,2,2
319,24,24
320,1,1
321,4,4
322,1,1
323,1,1
324,1,1
325,3,1
326,2,2
327,1,1
328,1,1
329,7,7
330,1,1
331,3,1
332,17,17
333,4,4
334,4,1
335,10,10
336,11,8
337,1,1
338,13,6
339,3,3
340,9,6
341,4,1
342,1,1
343,4,4
344,8,11
345,6,2
346,1,1
347,3,3
348,2,2
349,2,1
350,3,3
351,5,5
352,1,1
353,2,1
354,1,1
355,1,1
356,4,2
357,1,1
358,2,1
359,1,1
360,1,1
361,8,8
362,1,1
363,6,4
364,1,1
365,6,5
366,6,6
367,2,2
368,6,4
369,2,1
370,6,5
371,9,9
372,2,2
373,3,3
374,3,5
375,14,14
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,16,14
382,5,1
383,2,2
384,2,2
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,24,12
393,20,6
394,1,1
395,1,3
396,1,1
397,1,1
398,1,1
399,7,6
400,1,1
401,1,1
402,2,2
403,1,1
404,1,1
405,1,1
406,6,6
407,1,1
408,10,5
409,1,3
410,20,21
411,1,3
412,1,1
413,2,1
414,2,2
415,1,2
416,9,2
417,2,1
418,3,3
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,2,1
425,1,2
426,5,4
427,1,1
428,1,1
429,5,10
430,6,4
431,6,13
432,1,1
433,1,1
434,5,5
435,1,1
436,16,27
437,1,1
438,1,4
439,1,1
440,8,1
441,2,2
442,3,3
443,3,3
444,1,1
445,1,1
446,1,1
447,1,1
448,8,8
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,2,2
455,2,2
456,1,1
457,1,1
458,6,6
459,1,1
460,1,1
461,5,8
462,1,1
463,3,1
464,1,1
465,2,3
466,1,1
467,5,5
468,1,1
469,2,1
470,1,1
471,9,4
472,1,1
473,1,1
474,9,9
475,1,1
476,1,1
477,2,3
478,1,1
479,1,1
480,5,5
481,1,1
482,1,1
483,6,8
484,1,1
485,5,5
486,1,1
487,5,4
488,1,5
489,7,3
490,4,4
491,1,1
492,1,1
493,4,3
494,1,1
495,1,1
496,1,1
497,10,14
498,6,6
499,1,1
500,1,1
501,1,1
502,6,6
503,1,1
504,2,2
